Aceites y grasas,porcion,sodio
almendras,10 pieza,3.9mg
cacahuate,14 pz,100.6 mg
chia,7 cucharadas,0.5 mg
chorizo,15 gramos,11.5 mg
nuez,3 piezas,o.1 mg
Crema de cacahuate,2 cucharaditas,59.8 mg
queso de puerco,20 gr,0.0mg
pistache 18,18 piezas,86.4mg
